All CCC Companies;;End-of-month update at:;http://dripinvesting.org/Tools/Tools.htm;;;;;;;;;;;;;;Fundamental Data;;;;;Numbers in Blue directly from FinViz.com;;;;;;;(Brown=Yahoo Finance);;;;;;;Dividends Paid by Year;;;;;;;;;;;;;;;;;;;;;;;Percentage Increase by Year;;;;;;;;;;;;;;;;;Special Formulas;;;Dividend Growth Model;;;;;;;Technical Data;;;;
(and American Depository Receipts);;;;;;;;;Dates in Green (centered) indicate increase (by Ex-Div. Date) expected in next 2 months;;;;;;;;;;;Abbreviations:;;"EPS=Earnings Per Share; P/E=Price/Earnings Per Share; TTM=Trailing Twelve Months; MRQ=Most Recent Quarter,";;;;;;;;;;;;;;(excluding Special/Extra Dividends);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(see Notes tab);;;(based on Earnings Estimates, if available);;;;;;;;;;;
Note: This worksheet does not include the formulas in the Champions, Contenders, and Challengers worksheets;;;;;;;;;Dates in Red (right-aligned) indicate last increase more than a year ago (Ex-Div Date);;;;;;;;;;;;;"PEG=P/E divided by 5-yr future growth rate; FCF=Free Cash Flow, ROE=Return On Equity, TY=This Year; NY=Next Year";;;;;;;;;;;;;;*A/D=Acceleration/Deceleration (5-year average increase divided by 10-year average increase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Past Performance is No Guarantee of Future Results;;;;;;;;MMA=Moving Market Average;;;
5 or more straight years of higher dividends;;;;;;;;;Most Recent Dividend Increase Information;;;;;;;;Disclaimer: Although all figures are thought to be correct, no guarantee is expressed or implied.;;;;;;;;;;;;;;;;;;;;(DGR=Dividend Growth Rate);;;;;"# Column on right excludes amount normally paid in following year but accelerated; included next year (column on left)";;;;;;;;;;;;;;;;15 yrs;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;Mean;;;;;;;;;;;5-year Total;;;Current Price as % from:;;;
Eagle Financial Services;EFSI;Banking;28;97;-;-;23.05;3.47;0.1900;0.2000;5.26;10-29-14;10-31-14;11-14-14;B14;;0.80;41.88;(20.8);12.07;12;1.91;n/a;2.85;1.17;n/a;n/a;n/a;n/a;n/a;0 ;80;n/a;n/a;n/a;0.349 ;4.1;3.3;2.6;7.3;0.760;;0.730;0.720;;0.690;0.680;0.670;0.640;0.600;0.500;0.415;0.375;0.320;0.275;0.230;0.190;7.795;4.1;1.4;4.3;1.5;1.5;4.7;6.7;20.0;20.5;10.7;17.2;16.4;19.6;21.1;10.7;7.7;Financials;(6.0);6.0 ;43.7;0.78;0.81;0.83;0.86;0.88;4.16;18.0;n/a;8.5 ;(5.0);(2.2);(1.5)
Eaton Corp. plc;ETN;Machinery;5;472;Y;Y;68.39;2.87;0.4200;0.4900;16.67;3-6-14;3-10-14;3-21-14;C21;ADR-Ireland,US$;1.96;58.68;32.2 ;20.48;12;3.34;1.87;1.45;1.92;9.60;12.4 ;12.2 ;3.7 ;10.9 ;26 ;32,547;0.3;0.53;2.955;0.791 ;10.5;15.9;10.9;13.8 ;1.680;;1.520;1.360;;1.080;1.000;1.000;0.860;0.740;0.620;0.540;0.460;0.440;0.425;0.382;0.382;12.489;10.5;11.8;25.9;8.0;0.0;16.3;16.2;19.4;14.8;17.4;4.5;3.4;11.4;0.0;11.4;7.3;Industrials;(6.7);13.8 ;74.2;1.85;2.03;2.24;2.46;2.71;11.28;16.5;1.70 ;19.8 ;(13.9);5.0 ;(3.6)
Eaton Vance Corp.;EV;Financial Services;34;76;-;-;36.83;2.72;0.2200;0.2500;13.64;10-29-14;10-31-14;11-12-14;B12;;1.00;44.25;115.5 ;16.30;10;2.26;1.45;3.04;6.41;50.70;(11.6);6.8 ;(0.6);11.2 ;15 ;4,373;3.4;1.13;n/a;0.414 ;5.1;7.5;6.3;15.2;0.820;;0.780;0.730;;0.660;0.625;0.605;0.510;0.420;0.340;0.275;0.200;0.150;0.127;0.101;0.080;6.422;5.1;6.8;10.6;5.6;3.3;18.6;21.4;23.5;23.6;37.5;33.8;18.2;24.9;26.6;18.5;10.5;Financials;(7.3);9.0 ;62.4;0.83;0.88;0.97;1.07;1.18;4.93;13.4;1.64 ;10.8 ;(13.9);(1.1);0.1 
Ecolab Inc.;ECL;Cleaning Products;22;113;N;N;111.23;0.99;0.2300;0.2750;19.57;12-13-13;12-17-13;1-15-14;A15;;1.10;30.73;149.3 ;31.07;12;3.58;1.98;2.39;4.50;15.30;34.5 ;15.0 ;11.9 ;15.7 ;12 ;33,328;0.3;0.96;1.016;0.988 ;15.0;14.1;12.1;12.2 ;0.920;#;0.800;0.700;;0.620;0.560;0.520;0.460;0.400;0.350;0.320;0.290;0.270;0.260;0.240;0.210;6.920;15.0;14.3;12.9;10.7;7.7;13.0;15.0;14.3;9.4;10.3;7.4;3.8;8.3;14.3;11.2;3.3;Materials;(18.0);13.1 ;78.2;1.01;1.11;1.22;1.35;1.48;6.18;5.6;0.64 ;14.8 ;(6.1);(1.7);2.7 
Edison International;EIX;Utility-Electric;11;273;N;N;62.58;2.27;0.3375;0.3550;5.19;12-27-13;12-31-13;1-31-14;A31;;1.42;36.50;18.7 ;16.09;12;3.89;4.61;1.59;1.97;14.50;(41.3);(7.2);(6.2);3.5 ;18 ;20,389;0.2;1.16;n/a;n/a;3.8;2.3;2.0;n/a;1.350;;1.300;1.280;;1.260;1.240;1.220;1.160;1.080;1.000;0.800;0.000;0.000;0.000;1.110;1.070;13.870;3.8;1.6;1.6;1.6;1.6;5.2;7.4;8.0;25.0;0.0;0.0;0.0;0.0;3.7;4.3;6.3;Utilities;(11.8);4.3 ;43.3;1.36;1.38;1.43;1.47;1.53;7.17;11.5;0.47 ;43.0 ;(0.5);7.7 ;14.3 
El Paso Pipeline Partners LP;EPB;MLP-Oil&Gas Pipelines;6;426;-;-;40.65;6.40;0.6300;0.6500;3.17;10-29-13;10-31-13;11-14-13;B14;Being Acquired;2.60;156.63;6551.4 ;24.49;12;1.66;n/a;6.49;4065.00;21.30;(13.5);5.9 ;8.8 ;(6.4);15 ;9,586;39.2;n/a;2.267;n/a;17.3;17.4;19.9;n/a;2.510;;2.140;1.870;;1.550;1.325;1.011;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;10.406;17.3;14.4;20.6;17.0;31.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2;10.2;Energy;1.9 ;26.3 ;34.5;2.54;2.68;2.71;2.74;2.77;13.44;33.1;0.39 ;48.7 ;(3.8);2.7 ;19.9 
Emerson Electric;EMR;Industrial Equipment;57;7;N;N;64.06;2.68;0.4100;0.4300;4.88;11-13-13;11-15-13;12-10-13;C10;;1.72;48.18;81.7 ;17.94;9;3.57;1.95;1.82;4.14;23.80;3.4 ;9.9 ;(2.2);9.2 ;27 ;44,708;0.5;0.60;n/a;0.801 ;3.1;7.1;6.2;7.7;1.660;;1.610;1.435;;1.350;1.325;1.230;1.088;0.930;0.845;0.808;0.790;0.779;0.769;0.729;0.667;16.012;3.1;12.2;6.3;1.9;7.7;13.1;16.9;10.1;4.6;2.3;1.4;1.3;5.5;9.3;6.8;4.7;Industrials;(9.1);8.9 ;69.0;1.72;1.89;2.06;2.25;2.45;10.36;16.2;1.32 ;10.9 ;(7.5);1.7 ;(1.2)
Enbridge Energy Partners LP;EEP;MLP-Oil&Gas Pipelines;8;385;-;-;36.07;6.10;0.5435;0.5500;1.20;8-5-14;8-7-14;8-14-14;B14;Canada,US$;2.20;n/a;n/a;n/a;12;-0.01;n/a;1.54;3.02;-0.10;(130.7);28.0 ;(17.3);31.2 ;15 ;11,839;18.3;1.59;n/a;1.416 ;0.9;2.4;2.3;1.6 ;2.174;;2.154;2.092;;2.025;1.980;1.940;1.863;1.850;1.850;1.850;1.850;1.800;1.750;1.750;1.743;28.670;0.9;3.0;3.3;2.2;2.1;4.2;0.7;0.0;0.0;0.0;2.8;2.9;0.0;0.4;1.6;1.4;Energy;n/a;8.4 ;25.9;2.20;2.42;2.66;2.92;3.21;13.41;37.2;0.57 ;43.6 ;(10.1);(2.2);13.7 
Enbridge Inc.;ENB;Oil & Gas;18;161;N;N;47.36;2.61;0.2825;0.3090;9.38;11-13-13;11-15-13;12-1-13;C01;@ADR-Canada;1.24;92.24;175.4 ;35.34;12;1.34;2.66;1.20;4.83;15.50;(37.7);17.9 ;(25.1);13.3 ;9 ;40,086;3.9;3.36;n/a;1.269 ;9.3;14.5;14.6;11.5 ;1.236;;1.131;0.990;;0.824;0.651;0.625;0.579;0.511;0.472;0.458;0.415;0.380;0.350;0.323;0.299;9.243;9.3;14.2;20.1;26.6;4.2;7.9;13.3;8.4;2.9;10.4;9.2;8.6;8.4;8.1;10.8;6.0;Energy;(18.1);17.2 ;65.0;1.25;1.37;1.51;1.66;1.83;7.62;16.1;0.57 ;20.9 ;(8.8);(1.7);2.0 
Energy Transfer Equity LP;ETE;MLP-Natural Gas;9;370;-;-;58.36;2.84;0.3800;0.4150;9.21;10-30-14;11-3-14;11-19-14;B19;&;1.66;377.27;1693.1 ;132.64;12;0.44;5.67;0.60;54.54;28.40;(62.3);36.6 ;(19.2);23.4 ;9 ;31,443;2.2;46.73;n/a;n/a;4.3;6.5;6.0;n/a;1.304;;1.250;1.175;;1.080;1.053;0.975;0.730;0.305;0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.870;4.3;6.4;8.8;2.6;7.9;33.7;139.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.5;35.7;Energy;(123.8);8.8 ;37.5;1.32;1.45;1.59;1.75;1.93;8.04;13.8;0.92 ;80.9 ;(7.5);0.2 ;13.8 
Ensign Group Inc.;ENSG;Healthcare Facilities;7;414;-;-;38.72;0.72;0.0396;0.0700;76.63;6-26-14;6-30-14;7-31-14;A31;Adj/Spin-off,&;0.28;16.00;90.0 ;22.13;12;1.75;1.48;0.91;3.67;12.10;(39.3);12.6 ;(2.7);15.0 ;7 ;868;0.8;0.00;n/a;n/a;8.3;9.1;10.2;n/a;0.147;;0.136;0.125;;0.113;0.102;0.091;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.713;8.3;9.1;10.0;11.1;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6;5.0;Health Care;(11.2);10.9 ;57.9;0.15;0.16;0.18;0.20;0.22;0.91;2.3;0.68 ;86.9 ;1.3 ;10.9 ;36.3 
Enterprise Bancorp Inc.;EBTC;Banking;20;144;N;-;23.53;2.04;0.1150;0.1200;4.35;2-6-14;2-10-14;3-3-14;C03;;0.48;34.53;5.2 ;16.93;12;1.39;n/a;3.19;1.47;9.00;6.3 ;0.0 ;14.5 ;n/a;0 ;239;0.2;0.07;0.347;0.544 ;4.5;4.8;5.0;9.2 ;0.460;;0.440;0.420;;0.400;0.380;0.360;0.320;0.280;0.240;0.215;0.190;0.165;0.144;0.125;0.105;4.244;4.5;4.8;5.0;5.3;5.6;12.5;14.3;16.7;11.6;13.2;15.2;14.7;15.0;19.0;11.2;4.9;Financials;(9.9);7.1 ;49.9;0.49;0.49;0.50;0.52;0.53;2.53;10.8;1.16 ;36.1 ;1.5 ;16.5 ;20.0 
Enterprise Products Partners LP;EPD;MLP-Pipelines/Services;17;176;N;-;36.90;3.96;0.3600;0.3650;1.39;10-29-14;10-31-14;11-7-14;B07;&;1.46;100.00;120.8 ;25.27;12;1.46;3.13;1.37;4.34;18.00;4.4 ;5.7 ;26.2 ;8.1 ;20 ;69,296;36.9;1.18;0.218;0.883 ;6.6;5.7;5.7;6.5 ;1.350;;1.266;1.203;;1.143;1.083;1.023;0.958;0.898;0.830;0.756;0.721;0.664;0.578;0.513;0.463;13.446;6.6;5.3;5.3;5.5;5.9;6.8;6.7;8.1;9.8;4.9;8.7;14.8;12.8;10.8;8.0;2.9;Energy;(15.6);9.7 ;50.6;1.41;1.49;1.61;1.74;1.88;8.13;22.0;0.72 ;21.9 ;(10.8);(5.8);0.2 
EOG Resources Inc.;EOG;Oil & Gas;15;196;-;-;95.05;0.70;0.1250;0.1675;34.00;10-15-14;10-17-14;10-31-14;A31;&;0.67;15.23;72.2 ;21.60;12;4.40;1.89;3.35;3.09;15.30;282.9 ;3.6 ;(3.7);11.4 ;35 ;52,036;0.8;0.35;n/a;0.408 ;9.3;6.3;9.5;23.3 ;0.366;;0.335;0.318;;0.305;0.285;0.233;0.165;0.110;0.075;0.058;0.045;0.040;0.039;0.033;0.030;2.435;9.3;5.5;4.1;7.0;22.6;40.9;50.0;46.7;30.4;27.8;12.5;3.2;19.2;8.3;20.5;15.7;Energy;(11.4);10.2 ;72.4;0.40;0.42;0.46;0.50;0.56;2.34;2.5;1.30 ;22.5 ;(19.8);(3.8);(5.6)
Equifax Inc.;EFX;Financial Services;5;470;Y;Y;75.74;1.32;0.2200;0.2500;13.64;2-21-14;2-25-14;3-14-14;C14;;1.00;35.84;117.8 ;27.15;12;2.79;2.59;3.82;3.93;14.70;23.9 ;11.2 ;7.2 ;10.5 ;12 ;9,133;0.9;0.67;5.643;1.499 ;22.2;46.5;40.6;27.1 ;0.880;;0.720;0.640;;0.280;0.160;0.160;0.160;0.160;0.150;0.110;0.080;0.080;0.225;0.370;0.363;4.538;22.2;12.5;128.6;75.0;0.0;0.0;0.0;6.7;36.4;37.5;0.0;0.0;0.0;2.1;22.9;36.1;Financials;14.8 ;41.9 ;68.4;0.97;1.06;1.17;1.29;1.42;5.91;7.8;0.90 ;21.0 ;(5.3);0.1 ;5.0 
Equity LifeStyle Properties;ELS;REIT-Residential;10;317;N;N;49.10;2.65;0.2500;0.3250;30.00;3-26-14;3-28-14;4-11-14;A11;;1.30;87.25;178.6 ;32.95;12;1.49;6.28;5.43;5.30;14.80;51.9 ;15.5 ;17.3 ;5.3 ;6 ;4,120;1.6;2.85;1.208;n/a;14.8;17.3;20.9;(0.1);0.969;;0.844;0.713;;0.600;0.500;0.375;0.263;0.125;0.044;0.019;0.980;0.935;0.875;0.811;0.759;8.810;14.8;18.4;18.8;20.0;33.3;42.9;110.0;185.7;133.3;0.0;4.8;6.9;7.9;6.9;43.1;55.3;Financials;(9.4);23.6 ;54.0;1.07;1.17;1.23;1.30;1.37;6.14;12.5;0.66 ;44.3 ;2.2 ;10.8 ;16.4 
Erie Indemnity Company;ERIE;Insurance;24;106;-;-;84.87;2.99;0.5925;0.6350;7.17;1-3-14;1-7-14;1-22-14;A22;;2.54;75.37;141.0 ;25.18;12;3.37;2.52;0.61;5.19;24.50;3.0 ;10.1 ;20.9 ;10.0 ;2 ;3,920;1.0;0.00;0.293;0.509 ;7.2;7.3;6.1;12.0 ;2.370;#;2.210;2.060;;1.920;1.800;1.760;1.600;1.440;1.300;0.860;0.760;0.680;0.610;0.540;0.480;20.390;7.2;7.3;7.3;6.7;2.3;10.0;11.1;10.8;51.2;13.2;11.8;11.5;13.0;12.5;12.5;11.1;Financials;(16.1);9.1 ;59.8;2.44;2.69;2.95;3.25;3.57;14.90;17.6;0.49 ;30.9 ;(0.1);8.9 ;16.3 
Escalade Inc.;ESCA;Sporting Goods;5;535;-;-;11.44;3.50;0.0900;0.1000;11.11;9-10-14;9-14-14;9-21-14;C21;;0.40;51.95;14.1 ;14.86;12;0.77;n/a;1.06;1.97;-2.10;294.6 ;14.7 ;26.4 ;n/a;0 ;159;3.6;0.17;0.240;n/a;9.7;50.4;6.3;n/a;0.340;#;0.310;0.250;;0.100;0.000;0.250;0.220;0.200;0.150;0.240;0.000;0.000;0.000;0.000;0.167;2.227;9.7;24.0;150.0;0.0;0.0;13.6;10.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;17.2;38.2;Consumer Discretionary;(5.0);9.8 ;53.4;0.37;0.41;0.42;0.44;0.45;2.10;18.3;0.29 ;38.0 ;(33.0);(9.1);(16.7)
Essex Property Trust;ESS;REIT-Apartment;20;149;N;Y;201.76;2.58;1.2100;1.3000;7.44;6-26-14;6-30-14;7-15-14;A15;;5.20;222.22;187.7 ;86.22;12;2.34;10.55;17.49;2.16;4.50;4.2 ;89.3 ;11.5 ;8.2 ;23 ;12,810;0.1;0.88;0.301;0.808 ;9.0;4.6;3.5;4.3 ;4.730;;4.340;4.153;;4.128;4.110;3.990;3.630;3.330;3.220;3.150;3.110;3.010;2.790;2.320;2.100;52.110;9.0;4.5;0.6;0.4;3.0;9.9;9.0;3.4;2.2;1.3;3.3;7.9;20.3;10.5;6.1;5.2;Financials;(80.2);6.0 ;45.7;4.93;5.42;5.86;6.34;6.86;29.42;14.6;0.81 ;49.9 ;2.5 ;8.1 ;14.4 
EV Energy Partners LP;EVEP;MLP-Oil&Gas Pipelines;8;395;-;-;32.45;9.54;0.7730;0.7740;0.13;11-5-14;11-7-14;11-14-14;B14;&;3.10;n/a;n/a;n/a;12;-1.68;n/a;4.57;1.59;-7.70;(363.2);283.4 ;(16.3);17.3 ;12 ;1,576;8.7;1.14;n/a;n/a;0.5;0.5;2.9;n/a;3.074;;3.058;3.042;;3.026;3.010;2.670;1.920;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;19.800;0.5;0.5;0.5;0.5;12.7;39.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9;10.3;Energy;n/a;12.4 ;21.8;3.10;3.42;3.76;4.13;4.55;18.95;58.4;0.78 ;19.7 ;(22.7);(10.3);(7.8)
Evercore Partners Inc.;EVR;Financial Services;8;396;-;-;51.77;2.16;0.2500;0.2800;12.00;11-25-14;11-28-14;12-12-14;C12;;1.12;61.20;110.1 ;28.29;12;1.83;1.41;2.57;3.51;13.40;62.9 ;22.7 ;43.2 ;20.0 ;5 ;2,126;4.7;0.20;0.316;n/a;11.0;13.0;13.6;n/a;0.910;;0.820;0.740;;0.630;0.510;0.480;0.410;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.500;11.0;10.8;17.5;23.5;6.3;17.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1;8.0;Financials;(12.5);15.8 ;60.0;1.00;1.10;1.21;1.33;1.47;6.11;11.8;1.50 ;15.9 ;(17.6);6.4 ;(2.8)
Excel Trust Inc.;EXL;REIT-Diversified;5;455;-;-;13.00;5.38;0.1700;0.1750;2.94;12-27-13;12-31-13;1-15-14;A15;;0.70;n/a;n/a;n/a;12;-0.08;n/a;6.62;1.02;1.70;65.4 ;14.8 ;(35.1);2.8 ;9 ;795;1.1;0.90;n/a;n/a;3.9;103.3;n/a;n/a;0.673;;0.648;0.565;;0.080;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.965;3.9;14.6;606.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.6;155.8;Financials;n/a;n/a;30.6;0.74;0.81;0.84;0.86;0.88;4.13;31.8;0.57 ;23.7 ;(4.1);4.8 ;5.4 
Expeditors International;EXPD;Transportation;20;148;-;-;42.66;1.50;0.3000;0.3200;6.67;5-29-14;6-2-14;6-16-14;JnDe;Semi-ann. Div;0.64;36.78;119.5 ;24.52;12;1.74;2.26;1.33;4.42;25.80;7.0 ;12.8 ;4.2 ;10.8 ;23 ;8,323;0.5;0.00;3.190;0.600 ;7.1;14.5;13.4;22.3 ;0.600;;0.560;0.500;;0.400;0.380;0.320;0.280;0.220;0.150;0.110;0.080;0.060;0.050;0.035;0.013;3.758;7.1;12.0;25.0;5.3;18.8;14.3;27.3;46.7;36.4;37.5;33.3;20.0;42.9;180.0;36.2;41.8;Industrials;(9.6);14.9 ;70.1;0.64;0.71;0.78;0.85;0.94;3.92;9.2;1.12 ;11.9 ;(8.2);4.1 ;2.1 
Exterran Partners LP;EXLP;MLP-Oil&Gas Services;8;386;-;-;27.79;7.81;0.5375;0.5425;0.93;8-7-14;8-11-14;8-14-14;B14;&;2.17;310.00;97.5 ;39.70;12;0.70;1.52;3.08;2.21;6.00;742.9 ;27.1 ;(6.0);26.0 ;7 ;1,547;35.5;1.49;n/a;n/a;4.0;3.9;3.7;n/a;2.080;;2.000;1.920;;1.855;1.850;1.738;1.378;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;12.820;4.0;4.2;3.5;0.3;6.5;26.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2;6.7;Energy;(28.2);11.5 ;40.7;2.29;2.52;2.77;3.05;3.35;13.97;50.3;0.96 ;17.3 ;(9.3);(3.0);(1.6)
Extra Space Storage Inc.;EXR;REIT-Industrial;5;510;-;-;58.16;3.23;0.4000;0.4700;17.50;6-9-14;6-13-14;6-30-14;C30;;1.88;116.77;149.3 ;36.12;12;1.61;6.18;11.49;3.87;10.90;34.2 ;14.0 ;26.6 ;5.9 ;13 ;6,748;1.4;1.25;0.290;n/a;83.5;53.6;7.7;n/a;1.450;;0.790;0.560;;0.400;0.380;1.000;0.933;0.910;0.910;0.339;0.000;0.000;0.000;0.000;0.000;7.671;83.5;41.1;40.0;5.3;0.0;7.2;2.5;0.0;168.6;0.0;0.0;0.0;0.0;0.0;24.9;46.4;Financials;(25.2);10.9 ;47.0;1.60;1.75;1.86;1.97;2.08;9.25;15.9;0.97 ;48.2 ;2.0 ;9.4 ;15.2 
ExxonMobil Corp.;XOM;Oil & Gas;32;81;N;N;96.71;2.85;0.6300;0.6900;9.52;5-9-14;5-13-14;6-10-14;C10;;2.76;35.16;12.0 ;12.32;12;7.85;3.42;0.98;2.29;19.50;(24.0);(5.4);(3.2);3.6 ;25 ;412,438;0.1;0.12;n/a;1.004 ;12.8;12.2;9.7;9.6;2.460;;2.180;1.850;;1.740;1.660;1.550;1.370;1.280;1.140;1.060;0.980;0.920;0.910;0.880;0.835;20.815;12.8;17.8;6.3;4.8;7.1;13.1;7.0;12.3;7.5;8.2;6.5;1.1;3.4;5.4;8.1;4.3;Energy;0.2 ;12.5 ;70.7;2.48;2.51;2.60;2.69;2.79;13.08;13.5;0.90 ;12.6 ;(7.0);1.4 ;(0.5)
Factset Research System Inc.;FDS;Financial Services;16;183;-;-;131.44;1.19;0.3500;0.3900;11.43;5-28-14;5-30-14;6-17-14;C17;;1.56;32.64;262.6 ;27.50;8;4.78;2.32;6.10;10.76;39.00;8.0 ;11.5 ;12.2 ;11.8 ;10 ;5,494;4.3;0.00;1.275;0.638 ;13.3;15.2;15.6;24.4 ;1.360;;1.200;1.040;;0.890;0.780;0.660;0.420;0.230;0.200;0.180;0.153;0.127;0.100;0.070;0.067;7.477;13.3;15.4;16.9;14.1;18.2;57.1;82.6;15.0;11.1;17.4;21.0;26.7;42.9;5.0;25.5;20.5;Information Tech;(10.8);16.7 ;67.4;1.47;1.62;1.78;1.95;2.15;8.97;6.8;0.92 ;30.9 ;0.6 ;5.4 ;15.6 
Family Dollar Stores;FDO;Retail-Discount;38;64;-;-;78.29;1.58;0.2600;0.3100;19.23;3-12-14;3-14-14;4-15-14;A15;Being Acquired;1.24;49.80;173.4 ;31.44;8;2.49;5.04;0.85;5.35;17.60;(35.0);11.2 ;3.8 ;6.2 ;29 ;8,921;4.0;0.30;4.275;1.192 ;23.8;20.1;16.2;13.6;1.040;;0.840;0.720;;0.600;0.530;0.490;0.450;0.410;0.370;0.330;0.290;0.255;0.235;0.215;0.195;6.970;23.8;16.7;20.0;13.2;8.2;8.9;9.8;10.8;12.1;13.8;13.7;8.5;9.3;10.3;12.8;4.5;Consumer Discretionary;(13.6);17.8 ;66.2;1.05;1.16;1.23;1.30;1.39;6.12;7.8;0.40 ;41.9 ;(2.9);0.1 ;17.5 
Farmers & Merchants Bancorp;FMCB;Banking;16;180;-;-;464.00;2.72;6.2000;6.3000;1.61;12-4-13;12-6-13;1-2-14;JaJl;SA,@,.OB;12.60;39.80;9.2 ;14.66;12;31.66;n/a;4.03;1.83;n/a;n/a;n/a;n/a;n/a;0 ;361;n/a;n/a;n/a;0.542 ;3.3;3.3;4.0;7.4 ;12.400;;12.000;11.650;;11.250;10.900;10.200;9.150;8.250;7.600;6.900;6.100;5.500;5.350;5.100;4.900;127.250;3.3;3.0;3.6;3.2;6.9;11.5;10.9;8.6;10.1;13.1;10.9;2.8;4.9;4.1;6.9;3.6;Financials;(8.0);6.7 ;36.7;12.77;13.16;13.55;13.96;14.37;67.81;14.6;n/a;14.6 ;0.0 ;6.0 ;8.5 
Farmers and Merchants Bancorp;FMAO;Banking;9;353;-;-;27.00;3.11;0.2000;0.2100;5.00;12-27-13;12-31-13;1-20-14;A20;RecDateStreak;0.84;42.00;(19.9);13.50;12;2.00;n/a;3.20;1.07;n/a;n/a;n/a;n/a;n/a;1 ;125;n/a;n/a;n/a;0.192 ;3.9;3.6;3.9;20.4 ;0.800;;0.770;0.760;;0.720;0.720;0.660;0.630;0.588;0.475;0.000;0.125;0.225;0.350;0.175;0.200;7.198;3.9;1.3;5.6;0.0;9.1;4.8;7.2;23.7;0.0;0.0;0.0;0.0;100.0;0.0;11.1;25.4;Financials;(6.5);7.0 ;40.8;0.82;0.85;0.87;0.90;0.93;4.37;16.2;n/a;30.8 ;0.0 ;5.9 ;7.6 
Fastenal Company;FAST;Building Materials;15;189;-;-;44.04;2.27;0.2000;0.2500;25.00;7-24-13;7-26-13;8-23-13;B23;2014=Year 15;1.00;62.50;189.9 ;27.53;12;1.60;1.65;3.61;6.87;25.90;6.3 ;15.3 ;9.9 ;16.6 ;30 ;13,055;4.2;0.06;2.546;0.805 ;8.1;24.0;25.2;31.3 ;0.800;;0.740;0.525;;0.420;0.360;0.260;0.220;0.200;0.155;0.100;0.053;0.013;0.011;0.010;0.001;3.868;8.1;41.0;25.0;16.7;38.5;18.2;10.0;29.0;55.0;90.5;320.0;11.1;12.5;700.0;98.3;184.0;Materials;(0.0);27.5 ;67.6;0.85;0.94;1.03;1.13;1.25;5.19;11.8;1.02 ;10.3 ;(14.3);(0.7);(5.0)
Federal Realty Inv. Trust;FRT;REIT-Shopping Centers;47;24;N;N;131.80;2.64;0.7800;0.8700;11.54;9-18-14;9-22-14;10-15-14;A15;;3.48;156.76;291.9 ;59.37;12;2.22;8.69;13.49;5.82;11.70;(10.7);10.7 ;1.4 ;6.8 ;17 ;8,926;0.9;1.55;2.623;0.849 ;6.1;3.9;3.7;4.3;2.970;;2.800;2.700;;2.650;2.610;2.480;2.335;2.240;2.120;1.975;1.945;1.925;1.890;1.820;1.770;34.230;6.1;3.7;1.9;1.5;5.2;6.2;4.2;5.7;7.3;1.5;1.0;1.9;3.8;2.8;3.8;2.0;Financials;(53.1);6.3 ;44.5;3.00;3.30;3.53;3.77;4.02;17.61;13.4;0.60 ;35.8 ;0.5 ;7.7 ;12.7 
FedEx Corp.;FDX;Transportation;13;221;Y;Y;167.40;0.48;0.1500;0.2000;33.33;6-17-14;6-19-14;7-3-14;A03;;0.80;10.88;80.0 ;22.78;5;7.35;1.47;1.03;3.20;14.00;37.2 ;20.6 ;85.2 ;15.5 ;31 ;47,416;0.2;0.31;0.072;0.577 ;7.4;7.3;6.2;10.7 ;0.580;;0.540;0.510;;0.470;0.440;0.430;0.390;0.350;0.310;0.270;0.210;0.150;0.000;0.000;0.000;4.650;7.4;5.9;8.5;6.8;2.3;10.3;11.4;12.9;14.8;28.6;40.0;0.0;0.0;0.0;10.6;10.9;Industrials;(16.1);6.6 ;77.5;0.64;0.70;0.77;0.85;0.93;3.90;2.3;1.30 ;31.1 ;(0.5);7.2 ;16.1 
